ip,Date,Method,URL,Status
141.29.57.40,18/Mar/2025:03:40:03,GET,/logout,404
78.70.226.9,04/Jun/2025:17:42:24,PUT,/api/data,301
127.48.254.220,03/Apr/2025:18:23:58,PUT,/,200
40.215.228.211,08/May/2025:13:34:55,POST,/,403
21.244.231.219,09/Jan/2025:01:20:13,PUT,/logout,500
105.31.129.237,13/Jan/2025:04:01:23,DELETE,/search,404
90.25.248.220,15/Mar/2025:02:29:29,GET,/,200
168.61.136.152,27/Feb/2025:23:18:44,PUT,/index.html,403
254.49.81.14,19/Jun/2025:02:14:06,PUT,/logout,404
53.137.49.110,01/Jun/2025:06:54:52,DELETE,/api/data,302
159.221.228.153,23/Mar/2025:03:56:25,PUT,/,403
151.2.74.70,20/Jan/2025:09:19:27,GET,/index.html,404
240.167.154.77,15/Apr/2025:05:29:21,POST,/index.html,200
32.0.82.164,14/Feb/2025:01:59:55,PUT,/login,301
238.240.104.131,10/Jan/2025:12:27:18,DELETE,/search,403
114.39.28.211,05/Feb/2025:03:21:35,DELETE,/logout,404
110.57.172.145,22/Mar/2025:16:37:50,GET,/,301
24.4.193.136,20/May/2025:05:57:12,POST,/login,500
70.210.250.88,30/May/2025:22:31:15,DELETE,/search,403
208.168.118.17,28/May/2025:03:30:06,PUT,/api/data,301
42.54.196.245,16/May/2025:09:47:34,DELETE,/dashboard,403
42.110.153.189,27/May/2025:01:42:39,DELETE,/api/data,403
64.112.38.62,21/Apr/2025:01:17:18,DELETE,/logout,404
230.225.21.190,14/Jan/2025:17:12:32,DELETE,/,301
213.221.186.160,13/Mar/2025:11:15:23,DELETE,/,500
117.74.113.30,30/Apr/2025:10:23:52,POST,/api/data,301
91.143.70.7,19/Mar/2025:08:56:58,PUT,/login,500
234.152.118.99,30/Apr/2025:07:32:35,PUT,/index.html,500
250.181.39.204,03/Apr/2025:18:03:38,POST,/api/data,301
25.135.26.175,08/Jan/2025:22:06:34,DELETE,/logout,404
11.232.3.12,05/Mar/2025:14:52:50,GET,/dashboard,200
199.220.7.141,03/Jun/2025:07:23:54,PUT,/index.html,200
207.71.224.183,29/Jan/2025:23:30:24,GET,/login,403
102.234.105.195,07/May/2025:06:05:37,POST,/search,302
120.213.14.16,03/Mar/2025:20:27:26,POST,/api/data,301
240.55.164.104,14/Jan/2025:08:29:40,GET,/,403
88.48.153.42,21/Feb/2025:23:34:07,GET,/dashboard,200
205.244.110.178,20/Jan/2025:21:06:21,GET,/index.html,500
158.204.104.75,24/Jun/2025:01:36:57,POST,/search,404
